File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890711_002.tif,Page,Page 2,16,2,ark:/21198/z1f54zmt,ark:/21198/z1tj1b3q,ark:/21198/z1d822bf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d822bf,1889,1889-07-11 (vol. 01 | no. 24)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890711_003.tif,Page,Page 3,17,3,ark:/21198/z1f54zmt,ark:/21198/z1tj1b3q,ark:/21198/z18h19mq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h19mq,1889,1889-07-11 (vol. 01 | no. 24)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890715_001.tif,Page,Page 1,18,1,ark:/21198/z1f54zmt,ark:/21198/z1ps0kc0,ark:/21198/z14r0jvj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0jvj,1889,1889-07-15 (vol. 01 | no. 27)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890715_002.tif,Page,Page 2,19,2,ark:/21198/z1f54zmt,ark:/21198/z1ps0kc0,ark:/21198/z1128hhv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128hhv,1889,1889-07-15 (vol. 01 | no. 27)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890716_001.tif,Page,Page 1,20,1,ark:/21198/z1f54zmt,ark:/21198/z1k09tqx,ark:/21198/z1w9812d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w9812d,1889,1889-07-16 (vol. 01 | no. 28)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890716_002.tif,Page,Page 2,21,2,ark:/21198/z1f54zmt,ark:/21198/z1k09tqx,ark:/21198/z1rj78c4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj78c4,1889,1889-07-16 (vol. 01 | no. 28)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890821_001.tif,Page,Page 1,22,1,ark:/21198/z1f54zmt,ark:/21198/z1f79300,ark:/21198/z1ms6hpv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6hpv,1889,1889-08-21 (vol. 01 | no. 57)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890821_002.tif,Page,Page 2,23,2,ark:/21198/z1f54zmt,ark:/21198/z1f79300,ark:/21198/z1h15rwj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15rwj,1889,1889-08-21 (vol. 01 | no. 57)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890822_001.tif,Page,Page 1,24,1,ark:/21198/z1f54zmt,ark:/21198/z19g8b88,ark:/21198/z1c85162,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c85162,1889,1889-08-22 (vol. 01 | no. 58)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890822_002.tif,Page,Page 2,25,2,ark:/21198/z1f54zmt,ark:/21198/z19g8b88,ark:/21198/z17h48fw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h48fw,1889,1889-08-22 (vol. 01 | no. 58)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890823_001.tif,Page,Page 1,26,1,ark:/21198/z1f54zmt,ark:/21198/z15q7kjj,ark:/21198/z13v2720,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v2720,1889,1889-08-23 (vol. 01 | no. 59)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890824_001.tif,Page,Page 1,27,1,ark:/21198/z1f54zmt,ark:/21198/z1225j6d,ark:/21198/z1031gc1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031gc1,1889,1889-08-24 (vol. 01 | no. 60)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890824_002.tif,Page,Page 2,28,2,ark:/21198/z1f54zmt,ark:/21198/z1225j6d,ark:/21198/z1vb0zz7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0zz7,1889,1889-08-24 (vol. 01 | no. 60)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890826_001.tif,Page,Page 1,29,1,ark:/21198/z1f54zmt,ark:/21198/z1x951rj,ark:/21198/z1qk075d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk075d,1889,1889-08-26 (vol. 01 | no. 61)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890826_002.tif,Page,Page 2,30,2,ark:/21198/z1f54zmt,ark:/21198/z1x951rj,ark:/21198/z1ks9gf4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9gf4,1889,1889-08-26 (vol. 01 | no. 61)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890827_001.tif,Page,Page 1,31,1,ark:/21198/z1f54zmt,ark:/21198/z1sj4917,ark:/21198/z1g18qqq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18qqq,1889,1889-08-27 (vol. 01 | no. 62)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890827_002.tif,Page,Page 2,32,2,ark:/21198/z1f54zmt,ark:/21198/z1sj4917,ark:/21198/z1b88017,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b88017,1889,1889-08-27 (vol. 01 | no. 62)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890828_001.tif,Page,Page 1,33,1,ark:/21198/z1f54zmt,ark:/21198/z1ns3jcd,ark:/21198/z16m5xqf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5xqf,1889,1889-08-28 (vol. 01 | no. 63)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890828_002.tif,Page,Page 2,34,2,ark:/21198/z1f54zmt,ark:/21198/z1ns3jcd,ark:/21198/z12v561z,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v561z,1889,1889-08-28 (vol. 01 | no. 63)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890829_001.tif,Page,Page 1,35,1,ark:/21198/z1f54zmt,ark:/21198/z1j12sn0,ark:/21198/z1z34pmg,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34pmg,1889,1889-08-29 (vol. 01 | no. 64)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890829_002.tif,Page,Page 2,36,2,ark:/21198/z1f54zmt,ark:/21198/z1j12sn0,ark:/21198/z1tb3xv9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3xv9,1889,1889-08-29 (vol. 01 | no. 64)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890830_001.tif,Page,Page 1,37,1,ark:/21198/z1f54zmt,ark:/21198/z1d821w6,ark:/21198/z1pk363x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk363x,1889,1889-08-30 (vol. 01 | no. 65)
