"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_001.tif","Page","Page 1","1","ark:/21198/z1bc827s","ark:/21198/z1bc827s/qyGandP9a","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FqyGandP9a",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_002.tif","Page","Page 2","2","ark:/21198/z1bc827s","ark:/21198/z1bc827s/5Ar7OML9t","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2F5Ar7OML9t",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_003.tif","Page","Page 3","3","ark:/21198/z1bc827s","ark:/21198/z1bc827s/IV6RmrW67","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FIV6RmrW67",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_004.tif","Page","Page 4","4","ark:/21198/z1bc827s","ark:/21198/z1bc827s/VhkuKICMb","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FVhkuKICMb",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_005.tif","Page","Page 5","5","ark:/21198/z1bc827s","ark:/21198/z1bc827s/FXdf9Hvzp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FFXdf9Hvzp",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_006.tif","Page","Page 6","6","ark:/21198/z1bc827s","ark:/21198/z1bc827s/8ADbEUtz6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2F8ADbEUtz6",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_007.tif","Page","Page 7","7","ark:/21198/z1bc827s","ark:/21198/z1bc827s/Jx6VTmQDv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FJx6VTmQDv",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_008.tif","Page","Page 8","8","ark:/21198/z1bc827s","ark:/21198/z1bc827s/vSPa8hkPF","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FvSPa8hkPF",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_009.tif","Page","Page 9","9","ark:/21198/z1bc827s","ark:/21198/z1bc827s/7G3naEWPN","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2F7G3naEWPN",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_010.tif","Page","Page 10","10","ark:/21198/z1bc827s","ark:/21198/z1bc827s/xottIbAf4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FxottIbAf4",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_011.tif","Page","Page 11","11","ark:/21198/z1bc827s","ark:/21198/z1bc827s/UXkiLwnU5","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FUXkiLwnU5",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500512_012.tif","Page","Page 12","12","ark:/21198/z1bc827s","ark:/21198/z1bc827s/rXPICyduw","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc827s%2FrXPICyduw",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_001.tif","Page","Page 1","1","ark:/21198/z16m79kz","ark:/21198/z16m79kz/fuaxKXMT7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FfuaxKXMT7",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_002.tif","Page","Page 2","2","ark:/21198/z16m79kz","ark:/21198/z16m79kz/StI78LC5F","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FStI78LC5F",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_003.tif","Page","Page 3","3","ark:/21198/z16m79kz","ark:/21198/z16m79kz/rfRnC2RNJ","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FrfRnC2RNJ",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_004.tif","Page","Page 4","4","ark:/21198/z16m79kz","ark:/21198/z16m79kz/MRRgIHjk3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FMRRgIHjk3",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_005.tif","Page","Page 5","5","ark:/21198/z16m79kz","ark:/21198/z16m79kz/MfxjEc1Pj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FMfxjEc1Pj",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_006.tif","Page","Page 6","6","ark:/21198/z16m79kz","ark:/21198/z16m79kz/cM0gF6x9o","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FcM0gF6x9o",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_007.tif","Page","Page 7","7","ark:/21198/z16m79kz","ark:/21198/z16m79kz/LJtAIJH7C","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FLJtAIJH7C",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_008.tif","Page","Page 8","8","ark:/21198/z16m79kz","ark:/21198/z16m79kz/xq0OLNYzx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2Fxq0OLNYzx",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_009.tif","Page","Page 9","9","ark:/21198/z16m79kz","ark:/21198/z16m79kz/BTzXLizoH","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FBTzXLizoH",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_010.tif","Page","Page 10","10","ark:/21198/z16m79kz","ark:/21198/z16m79kz/uNCjSTWq2","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FuNCjSTWq2",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_011.tif","Page","Page 11","11","ark:/21198/z16m79kz","ark:/21198/z16m79kz/EzI5zFNM0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FEzI5zFNM0",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1950/ihc_hoy_19500513_012.tif","Page","Page 12","12","ark:/21198/z16m79kz","ark:/21198/z16m79kz/Oat5j32Vq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m79kz%2FOat5j32Vq",""
