"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_001.tif","Page","Page 1","1","ark:/21198/z15x6c85","ark:/21198/z15x6c85/yOVT29NMq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FyOVT29NMq",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_002.tif","Page","Page 2","2","ark:/21198/z15x6c85","ark:/21198/z15x6c85/d7Wx6NwAG","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2Fd7Wx6NwAG",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_003.tif","Page","Page 3","3","ark:/21198/z15x6c85","ark:/21198/z15x6c85/BDuTGcymM","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FBDuTGcymM",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_004.tif","Page","Page 4","4","ark:/21198/z15x6c85","ark:/21198/z15x6c85/YbEaVroXy","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FYbEaVroXy",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_005.tif","Page","Page 5","5","ark:/21198/z15x6c85","ark:/21198/z15x6c85/g2hqtBTEf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2Fg2hqtBTEf",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_006.tif","Page","Page 6","6","ark:/21198/z15x6c85","ark:/21198/z15x6c85/8jYzRcigF","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2F8jYzRcigF",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_007.tif","Page","Page 7","7","ark:/21198/z15x6c85","ark:/21198/z15x6c85/3vRfmm233","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2F3vRfmm233",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_008.tif","Page","Page 8","8","ark:/21198/z15x6c85","ark:/21198/z15x6c85/cBZFSYWRF","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FcBZFSYWRF",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_009.tif","Page","Page 9","9","ark:/21198/z15x6c85","ark:/21198/z15x6c85/oV0qsxe7z","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FoV0qsxe7z",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_010.tif","Page","Page 10","10","ark:/21198/z15x6c85","ark:/21198/z15x6c85/ImaOdHtDU","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FImaOdHtDU",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_011.tif","Page","Page 11","11","ark:/21198/z15x6c85","ark:/21198/z15x6c85/X13ZS7UGt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2FX13ZS7UGt",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390615_012.tif","Page","Page 12","12","ark:/21198/z15x6c85","ark:/21198/z15x6c85/4yfUNh03b","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x6c85%2F4yfUNh03b",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390616_001.tif","Page","Page 1","1","ark:/21198/z1255mh9","ark:/21198/z1255mh9/dsWFFPVT9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1255mh9%2FdsWFFPVT9",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390616_002.tif","Page","Page 2","2","ark:/21198/z1255mh9","ark:/21198/z1255mh9/hL75y7xpl","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1255mh9%2FhL75y7xpl",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390616_003.tif","Page","Page 3","3","ark:/21198/z1255mh9","ark:/21198/z1255mh9/YF6tv6ZSy","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1255mh9%2FYF6tv6ZSy",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390616_004.tif","Page","Page 4","4","ark:/21198/z1255mh9","ark:/21198/z1255mh9/DMAPB8ddd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1255mh9%2FDMAPB8ddd",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390616_005.tif","Page","Page 5","5","ark:/21198/z1255mh9","ark:/21198/z1255mh9/x0CR31Srp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1255mh9%2Fx0CR31Srp",""
