"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_001.tif","Page","Page 1","1","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/EntcDO04i","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FEntcDO04i",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_002.tif","Page","Page 2","2","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/NJU66scz0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FNJU66scz0",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_003.tif","Page","Page 3","3","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/IIWWKEWTH","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FIIWWKEWTH",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_004.tif","Page","Page 4","4","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/R0zomuMmn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FR0zomuMmn",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_005.tif","Page","Page 5","5","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/3ZFynk3BC","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2F3ZFynk3BC",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_006.tif","Page","Page 6","6","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/RgASemw8E","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FRgASemw8E",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_007.tif","Page","Page 7","7","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/ytPB8I0HC","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FytPB8I0HC",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_008.tif","Page","Page 8","8","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/SnapHw88R","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FSnapHw88R",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_009.tif","Page","Page 9","9","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/e8FASWo3n","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2Fe8FASWo3n",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1965/ihc_hoy_19650124_010.tif","Page","Page 10","10","ark:/21198/z1pz9cz8","ark:/21198/z1pz9cz8/yScZ5vqLq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz9cz8%2FyScZ5vqLq",""
