"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_001.tif","Page","Page 1","1","ark:/21198/z1866jt3","ark:/21198/z1866jt3/Mu4yPXwHU","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FMu4yPXwHU",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_002.tif","Page","Page 2","2","ark:/21198/z1866jt3","ark:/21198/z1866jt3/8Fvq9zjEf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2F8Fvq9zjEf",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_003.tif","Page","Page 3","3","ark:/21198/z1866jt3","ark:/21198/z1866jt3/RaD4xKaSa","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FRaD4xKaSa",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_004.tif","Page","Page 4","4","ark:/21198/z1866jt3","ark:/21198/z1866jt3/cbvmwPBZl","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FcbvmwPBZl",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_005.tif","Page","Page 5","5","ark:/21198/z1866jt3","ark:/21198/z1866jt3/A4w1d4bxQ","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FA4w1d4bxQ",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_006.tif","Page","Page 6","6","ark:/21198/z1866jt3","ark:/21198/z1866jt3/TS5XvQb0c","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FTS5XvQb0c",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_007.tif","Page","Page 7","7","ark:/21198/z1866jt3","ark:/21198/z1866jt3/Ax93WtfRH","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FAx93WtfRH",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_008.tif","Page","Page 8","8","ark:/21198/z1866jt3","ark:/21198/z1866jt3/jtXKv6qtM","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FjtXKv6qtM",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_009.tif","Page","Page 9","9","ark:/21198/z1866jt3","ark:/21198/z1866jt3/D7CXv0QCN","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FD7CXv0QCN",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_010.tif","Page","Page 10","10","ark:/21198/z1866jt3","ark:/21198/z1866jt3/ScL8JgmVI","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FScL8JgmVI",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_011.tif","Page","Page 11","11","ark:/21198/z1866jt3","ark:/21198/z1866jt3/2I4FDttA5","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2F2I4FDttA5",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390317_012.tif","Page","Page 12","12","ark:/21198/z1866jt3","ark:/21198/z1866jt3/SB43R1J4i","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1866jt3%2FSB43R1J4i",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390318_001.tif","Page","Page 1","1","ark:/21198/z14f5t2b","ark:/21198/z14f5t2b/gOulc4Fqo","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f5t2b%2FgOulc4Fqo",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390318_002.tif","Page","Page 2","2","ark:/21198/z14f5t2b","ark:/21198/z14f5t2b/FCfTqiu0Z","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f5t2b%2FFCfTqiu0Z",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1939/ihc_hoy_19390318_003.tif","Page","Page 3","3","ark:/21198/z14f5t2b","ark:/21198/z14f5t2b/tv2MgXV6B","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f5t2b%2Ftv2MgXV6B",""
