"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_001.tif","Page","Page 1","1","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/TJhAkKlcU","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2FTJhAkKlcU",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_002.tif","Page","Page 2","2","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/uER6siR02","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2FuER6siR02",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_003.tif","Page","Page 3","3","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/DvjPk5Q8I","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2FDvjPk5Q8I",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_004.tif","Page","Page 4","4","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/grx5AbPpK","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2Fgrx5AbPpK",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_005.tif","Page","Page 5","5","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/td9fOHKZq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2Ftd9fOHKZq",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_006.tif","Page","Page 6","6","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/hCjwMJz5j","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2FhCjwMJz5j",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_007.tif","Page","Page 7","7","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/QBUtrg3Sm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2FQBUtrg3Sm",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450907_008.tif","Page","Page 8","8","ark:/21198/z11g4ps4","ark:/21198/z11g4ps4/RwUFRzBgb","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g4ps4%2FRwUFRzBgb",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450908_001.tif","Page","Page 1","1","ark:/21198/z1wq46c4","ark:/21198/z1wq46c4/olEg9gURJ","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq46c4%2FolEg9gURJ",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450908_002.tif","Page","Page 2","2","ark:/21198/z1wq46c4","ark:/21198/z1wq46c4/jzHQgOwUf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq46c4%2FjzHQgOwUf",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450908_003.tif","Page","Page 3","3","ark:/21198/z1wq46c4","ark:/21198/z1wq46c4/VAHVnFklL","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq46c4%2FVAHVnFklL",""
"Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1945/ihc_hoy_19450908_004.tif","Page","Page 4","4","ark:/21198/z1wq46c4","ark:/21198/z1wq46c4/Ecp3022PL","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq46c4%2FEcp3022PL",""
