File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2,media.height,media.width
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_001.tif,Page,Page 1,1,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1sn2wv9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2wv9,1958,1958-05-19,1423,1066
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_002.tif,Page,Page 2,2,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1p00vh5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00vh5,1958,1958-05-19,1405,2046
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_003.tif,Page,Page 3,3,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1j703st,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j703st,1958,1958-05-19,1337,2029
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_004.tif,Page,Page 4,4,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1df9c1h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9c1h,1958,1958-05-19,1410,2062
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_005.tif,Page,Page 5,5,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z18p8mcp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8mcp,1958,1958-05-19,1405,2041
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_006.tif,Page,Page 6,6,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z14x7vnz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7vnz,1958,1958-05-19,1355,2072
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_007.tif,Page,Page 7,7,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z11573xx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11573xx,1958,1958-05-19,1386,2067
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_008.tif,Page,Page 8,8,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1wd6mfn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6mfn,1958,1958-05-19,1337,2070
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_009.tif,Page,Page 9,9,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1rr4k36,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr4k36,1958,1958-05-19,1358,2055
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_010.tif,Page,Page 10,10,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1n03td7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03td7,1958,1958-05-19,1329,1995
