File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_1890---29_001.tif,Page,Page 1,1,1,ark:/21198/z1dn67nv,ark:/21198/z1rz1fm6,ark:/21198/z1k66mpx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66mpx,1890,1890-??-29 (año 01)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_1890---29_002.tif,Page,Page 2,2,2,ark:/21198/z1dn67nv,ark:/21198/z1rz1fm6,ark:/21198/z1ff5vxr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5vxr,1890,1890-??-29 (año 01)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_1890---29_003.tif,Page,Page 3,3,3,ark:/21198/z1dn67nv,ark:/21198/z1rz1fm6,ark:/21198/z19s3tmr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3tmr,1890,1890-??-29 (año 01)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_1890---29_004.tif,Page,Page 4,4,4,ark:/21198/z1dn67nv,ark:/21198/z1rz1fm6,ark:/21198/z16132wq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16132wq,1890,1890-??-29 (año 01)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_1890---29_005.tif,Page,Page 5,5,5,ark:/21198/z1dn67nv,ark:/21198/z1rz1fm6,ark:/21198/z1282b4z,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282b4z,1890,1890-??-29 (año 01)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_1890---29_006.tif,Page,Page 6,6,6,ark:/21198/z1dn67nv,ark:/21198/z1rz1fm6,ark:/21198/z1xh1tq5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1tq5,1890,1890-??-29 (año 01)
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901108_001.tif,Page,Page 1,7,1,ark:/21198/z1dn67nv,ark:/21198/z11g2pv8,ark:/21198/z1sr1307,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1307,1890,"1890-11-08 (año 01, número 06)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901108_002.tif,Page,Page 2,8,2,ark:/21198/z1dn67nv,ark:/21198/z11g2pv8,ark:/21198/z1p00b6x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00b6x,1890,"1890-11-08 (año 01, número 06)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901110_001.tif,Page,Page 1,9,1,ark:/21198/z1dn67nv,ark:/21198/z1wq26cc,ark:/21198/z1j69kf6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69kf6,1890,1890-11-10
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901110_002.tif,Page,Page 2,10,2,ark:/21198/z1dn67nv,ark:/21198/z1wq26cc,ark:/21198/z1dj7j7j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7j7j,1890,1890-11-10
