File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,IIIF Manifest URL,Range.1,Range.2
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800115_002.tif,Page,Page 2,16,2,ark:/21198/z16t3b1r,ark:/21198/z12547k8,ark:/21198/z13b8pvs,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8pvs,,1880,1880-01-15 (vol. 02 | no. 11)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800116_001.tif,Page,Page 1,17,1,ark:/21198/z16t3b1r,ark:/21198/z1xd3r13,ark:/21198/z1zk86db,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk86db,,1880,1880-01-16 (vol. 02 | no. 12)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800116_002.tif,Page,Page 2,18,2,ark:/21198/z16t3b1r,ark:/21198/z1xd3r13,ark:/21198/z1tx653b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx653b,,1880,1880-01-16 (vol. 02 | no. 12)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800117_001.tif,Page,Page 1,19,1,ark:/21198/z16t3b1r,ark:/21198/z1sn30b6,ark:/21198/z1q55dbg,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55dbg,,1880,1880-01-17 (vol. 02 | no. 13)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800117_002.tif,Page,Page 2,20,2,ark:/21198/z16t3b1r,ark:/21198/z1sn30b6,ark:/21198/z1kd4nmr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4nmr,,1880,1880-01-17 (vol. 02 | no. 13)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800119_001.tif,Page,Page 1,21,1,ark:/21198/z16t3b1r,ark:/21198/z1nw27jk,ark:/21198/z1fn3ww1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3ww1,,1880,1880-01-19 (vol. 02 | no. 14)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800119_002.tif,Page,Page 2,22,2,ark:/21198/z16t3b1r,ark:/21198/z1nw27jk,ark:/21198/z19w3570,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w3570,,1880,1880-01-19 (vol. 02 | no. 14)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800120_001.tif,Page,Page 1,23,1,ark:/21198/z16t3b1r,ark:/21198/z1j41gt5,ark:/21198/z1642dfp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642dfp,,1880,1880-01-20 (vol. 02 | no. 15)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800120_002.tif,Page,Page 2,24,2,ark:/21198/z16t3b1r,ark:/21198/z1j41gt5,ark:/21198/z12c1nsv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1nsv,,1880,1880-01-20 (vol. 02 | no. 15)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800121_001.tif,Page,Page 1,25,1,ark:/21198/z16t3b1r,ark:/21198/z1dc0r66,ark:/21198/z1xp9vnf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9vnf,,1880,1880-01-21 (vol. 02 | no. 16)
