File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_608.tif,Page,Page 608,608,ark:/21198/z1835t07,ark:/21198/z1j987j2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j987j2
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_609.tif,Page,Page 609,609,ark:/21198/z1835t07,ark:/21198/z1dj7grf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7grf
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_610.tif,Page,Page 610,610,ark:/21198/z1835t07,ark:/21198/z18s6r0p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6r0p
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_611.tif,Page,Page 611,611,ark:/21198/z1835t07,ark:/21198/z1544pq1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544pq1
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_612.tif,Page,Page 612,612,ark:/21198/z1835t07,ark:/21198/z11c3z0q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3z0q
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_613.tif,Page,Page 613,613,ark:/21198/z1835t07,ark:/21198/z1wm3fjv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm3fjv
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_614.tif,Page,Page 614,614,ark:/21198/z1835t07,ark:/21198/z1rv2pw1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2pw1
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_615.tif,Page,Page 615,615,ark:/21198/z1835t07,ark:/21198/z1n31z34,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31z34
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_616.tif,Page,Page 616,616,ark:/21198/z1835t07,ark:/21198/z1hb16bb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb16bb
Masters/othermasters/DEPlalucha/magazine/images/ihc_laluchamag_santaclara_617.tif,Page,Page 617,617,ark:/21198/z1835t07,ark:/21198/z1ck0fk5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck0fk5
