File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19580101_001.tif,Page,Page 1,1,1,open,ark:/21198/z1cw1t5t,ark:/21198/z1t75btj,ark:/21198/z1j70bcb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j70bcb,1958-01-01 (vol. 02 | no. 25)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19580101_002.tif,Page,Page 2,2,2,open,ark:/21198/z1cw1t5t,ark:/21198/z1t75btj,ark:/21198/z1df9kn2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9kn2,1958-01-01 (vol. 02 | no. 25)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19580101_003.tif,Page,Page 3,3,3,open,ark:/21198/z1cw1t5t,ark:/21198/z1t75btj,ark:/21198/z18s7jch,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7jch,1958-01-01 (vol. 02 | no. 25)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19580101_004.tif,Page,Page 4,4,4,open,ark:/21198/z1cw1t5t,ark:/21198/z1t75btj,ark:/21198/z1516sn3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516sn3,1958-01-01 (vol. 02 | no. 25)
