File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL
Masters/othermasters/DEPultimanoticia/images/ihc_ultimanoticia_19560726_001.tif,Page,Page 1,1,ark:/21198/z1ng7b7j,ark:/21198/z1pz7wf0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7wf0
Masters/othermasters/DEPultimanoticia/images/ihc_ultimanoticia_19560726_002.tif,Page,Page 2,2,ark:/21198/z1ng7b7j,ark:/21198/z1k674rd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k674rd
Masters/othermasters/DEPultimanoticia/images/ihc_ultimanoticia_19560726_003.tif,Page,Page 3,3,ark:/21198/z1ng7b7j,ark:/21198/z1fj53gv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj53gv
Masters/othermasters/DEPultimanoticia/images/ihc_ultimanoticia_19560726_004.tif,Page,Page 4,4,ark:/21198/z1ng7b7j,ark:/21198/z19s4bqp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4bqp
Masters/othermasters/DEPultimanoticia/images/ihc_ultimanoticia_19560726_005.tif,Page,Page 5,5,ark:/21198/z1ng7b7j,ark:/21198/z1613m0p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613m0p
Masters/othermasters/DEPultimanoticia/images/ihc_ultimanoticia_19560726_006.tif,Page,Page 6,6,ark:/21198/z1ng7b7j,ark:/21198/z1282v62,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282v62
