File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_001.tif,Page,Page 1,1,1,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z1h15rbc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15rbc,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_002.tif,Page,Page 2,2,2,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z1c850m1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c850m1,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_003.tif,Page,Page 3,3,3,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z17h47td,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h47td,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_004.tif,Page,Page 4,4,4,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z13r3h4j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3h4j,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_005.tif,Page,Page 5,5,5,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z1002rfk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002rfk,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_006.tif,Page,Page 6,6,6,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z1vb0zcm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0zcm,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_007.tif,Page,Page 7,7,7,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z1qk06mt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk06mt,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_001.tif,Page,Page 1,8,1,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z1ks9fwj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9fwj,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_002.tif,Page,Page 2,9,2,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z1g18q43,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18q43,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_003.tif,Page,Page 3,10,3,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z1b87zdc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87zdc,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_004.tif,Page,Page 4,11,4,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z16h76qg,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h76qg,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_005.tif,Page,Page 5,12,5,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z12r6g1m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6g1m,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_006.tif,Page,Page 6,13,6,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z1z34p0d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34p0d,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_007.tif,Page,Page 7,14,7,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z1tb3x8p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3x8p,1935-01-22 (año 01 | num. 02)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350122_008.tif,Page,Page 8,15,8,ark:/21198/z1xd3r0n,ark:/21198/z1j41gsq,ark:/21198/z1pk35hw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk35hw,1935-01-22 (año 01 | num. 02)
