"Object Type","Parent ARK","Item ARK","Title","File Name","Item Sequence","Type.typeOfResource","viewingHint","IIIF Access URL","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","Subject topic","Genre","Date.normalized","Date.creation","Description.note","AltTitle.uniform","Opac url","Place of origin","Format.extent","IIIF Manifest URL"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028ttr4","Año 4, número 56. 26 febrero 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028ttsn","pd","","","","","newspapers","1893-02-26","26 febrero 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028ttr4/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028twnj","Año 4, número 57. 26 marzo 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028twp2","pd","","","","","newspapers","1893-03-26","26 marzo 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028twnj/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028twt4","Año 4, número 58. 16 abril 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028twvn","pd","","","","","newspapers","1893-04-16","16 abril 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028twt4/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tx06","Año 4, número 59. 7 mayo 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tx1q","pd","","","","","newspapers","1893-05-07","7 mayo 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tx06/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tx5s","Año 4, número 61. 18 junio 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tx69","pd","","","","","newspapers","1893-06-18","18 junio 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tx5s/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028txbc","Año 4, número 63. 13 agosto 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028txcw","pd","","","","","newspapers","1893-08-13","13 agosto 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028txbc/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028txhz","Año 4, número 64. 17 septiembre 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028txjg","pd","","","","","newspapers","1893-07-17","17 septiembre 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028txhz/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028txpj","Año 4, número 66. 11 noviembre 1893","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028txq2","pd","","","","","newspapers","1893-11-11","11 noviembre 1893","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028txpj/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028txv4","Año 4, número 68. 18 febrero 1894","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028txwn","pd","","","","","newspapers","1894-02-18","18 febrero 1894","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028txv4/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tz16","Año 5, número 70. 31 mayo 1894","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tz2q","pd","","","","","newspapers","1894-05-31","31 mayo 1894","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tz16/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tz6s","Año 5, número 71. 11 noviembre 1894","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tz79","pd","","","","","newspapers","1894-11-11","11 noviembre 1894","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tz6s/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tzcc","Año 5, número 72. 22 noviembre 1894","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tzdw","pd","","","","","newspapers","1894-11-22","22 noviembre 1894","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tzcc/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tzjz","Año 5, número 73. 12 diciembre 1894","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tzkg","pd","","","","","newspapers","1894-12-12","12 diciembre 1894","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tzjz/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tzqj","Año 6, número 74. 1 enero 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tzr2","pd","","","","","newspapers","1895-01-01","1 enero 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tzqj/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028tzxn","Año 6, número 75. 18 enero 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tzz5","pd","","","","","newspapers","1895-01-18","18 enero 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tzxn/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v035","Año 6, número 76. 27 enero 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v04p","pd","","","","","newspapers","1895-01-27","27 enero 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v035/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v08r","Año 6, número 77. 10 febrero 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v098","pd","","","","","newspapers","1895-02-18","10 febrero 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v08r/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v0fb","Año 6, número 78. 13 marzo 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v0gv","pd","","","","","newspapers","1895-03-13","13 marzo 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v0fb/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v0nf","Año 6, número 79. 13 abril 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v0pz","pd","","","","","newspapers","1895-04-13","13 abril 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v0nf/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v0t1","Año 6, número 80. 21 abril 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v0vj","pd","","","","","newspapers","1895-04-21","21 abril 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v0t1/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v103","Año 6, número 81. 21 mayo 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v11m","pd","","","","","newspapers","1895-05-21","21 mayo 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v103/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v15p","Año 6, número 82. 31 mayo 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v166","pd","","","","","newspapers","1895-05-31","31 mayo 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v15p/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v1b8","Año 6, número 83. 16 junio 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v1cs","pd","","","","","newspapers","1895-06-16","16 junio 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v1b8/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v1hv","Año 6, número 84. 24 junio 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v1jc","pd","","","","","newspapers","1895-06-24","24 junio 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v1hv/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v386","Año 6, número 86. 24 julio 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v39q","pd","","","","","newspapers","1895-07-24","24 julio 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v386/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v3fs","Año 6, número 87. 2 agosto 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v3g9","pd","","","","","newspapers","1895-08-02","2 agosto 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v3fs/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v3mc","Año 6, número 88. 11 agosto 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v3nw","pd","","","","","newspapers","1895-08-11","11 agosto 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v3mc/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v3sz","Año 6, número 89. 23 agosto 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v3tg","pd","","","","","newspapers","1895-08-23","23 agosto 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v3sz/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v3zj","Año 6, número 90. 1 septiembre 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v40j","pd","","","","","newspapers","1895-09-01","1 septiembre 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v3zj/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v44m","Año 6, número 91. 8 septiembre 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v454","pd","","","","","newspapers","1895-09-08","8 septiembre 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v44m/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v496","Año 6, número 92. 15 septiembre 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v4bq","pd","","","","","newspapers","1895-09-15","15 septiembre 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v496/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v4gs","Año 6, número 94. 14 octubre 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v4h9","pd","","","","","newspapers","1895-10-14","14 octubre 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v4gs/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v4nc","Año 6, número 95. 8 noviembre 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v4pw","pd","","","","","newspapers","1895-11-08","8 noviembre 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v4nc/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v4tz","Año 6, número 96. 8 diciembre 1895","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v4vg","pd","","","","","newspapers","1895-12-08","8 diciembre 1895","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v4tz/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v501","Año 7, número 97. 14 febrero 1896","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v51j","pd","","","","","newspapers","1896-02-14","14 febrero 1896","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v501/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v55m","Año 7, número 98. 7 marzo 1896","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v564","pd","","","","","newspapers","1896-03-07","7 marzo 1896","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v55m/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v5b6","Año 7, número 100. 6 diciembre 1896","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5cq","pd","","","","","newspapers","1896-12-06","6 diciembre 1896","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v5b6/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v5hs","Año 7, número 101. 24 diciembre 1896","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5j9","pd","","","","","newspapers","1896-12-24","24 diciembre 1896","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v5hs/manifest"
"Work","ark:/21198/zz0028tdqt","ark:/21198/zz0028v5pc","Año 8, número 102. 31 enero 1897","","","text","paged","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5qw","pd","","","","","newspapers","1897-01-31","31 enero 1897","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v5pc/manifest"
